group,dominant_topic,topic_label,topic_prob,sentiment,polarity,subjectivity
rec.autos.buying,Topic 20,mile a car,0.309,Negative,-0.144,0.419
comp.sys.mac.hardware,Topic 21,clock part,0.293,Positive,0.144,0.548
comp.sys.mac.hardware,Topic 13,let put,0.399,Positive,0.121,0.444
sci.space.nasa,Topic 22,window set color,0.245,Positive,0.164,0.578
politics.guns.control,Topic 17,evidence claim,0.664,Neutral,0.028,0.236
sci.med.treatment,Topic 13,let put,0.576,Positive,0.164,0.389
comp.hardware.drives,Topic 19,client server,0.681,Positive,0.284,0.539
comp.os.ms-windows.misc,Topic 16,file image,0.351,Positive,0.333,0.167
comp.sys.mac.hardware,Topic 12,computer system,0.346,Negative,-0.147,0.547
rec.motorcycles,Topic 27,bike motorcycle,0.558,Positive,0.226,0.59
talk.religion.misc,Topic 14,god christian,0.52,Neutral,-0.027,0.452
sci.space.astronomy,Topic 9,space earth,0.785,Neutral,0.023,0.336
misc.forsale,Topic 11,sale new,0.374,Positive,0.101,0.434
alt.atheism,Topic 13,let put,0.327,Neutral,0.039,0.649
comp.graphics.software,Topic 16,file image,0.454,Positive,0.09,0.596
rec.autos.buying,Topic 13,let put,0.203,Neutral,0.026,0.406
sci.electronics.circuit,Topic 17,evidence claim,0.467,Positive,0.258,0.593
comp.windows.x,Topic 19,client server,0.426,Negative,-0.099,0.503
alt.atheism,Topic 13,let put,0.629,Negative,-0.295,0.52
sport.hockey.nhl,Topic 3,comics comics,0.359,Neutral,0.0,0.0
misc.forsale,Topic 16,file image,0.227,Positive,0.1,0.45
comp.os.ms-windows.misc,Topic 12,computer system,0.605,Negative,-0.143,0.179
comp.sys.mac.hardware,Topic 12,computer system,0.264,Negative,-0.125,0.573
comp.graphics.software,Topic 16,file image,0.322,Positive,0.322,0.469
sci.electronics.devices,Topic 20,mile a car,0.691,Neutral,-0.04,0.533
rec.sport.baseball,Topic 24,mike and john,0.299,Neutral,0.0,0.0
religion.christian.church,Topic 14,god christian,0.312,Positive,0.126,0.539
rec.autos.buying,Topic 11,sale new,0.348,Neutral,0.019,0.388
misc.forsale,Topic 13,let put,0.194,Positive,0.271,0.357
sci.med.treatment,Topic 13,let put,0.273,Neutral,-0.016,0.454
sci.electronics.circuit,Topic 30,president of the united states,0.265,Negative,-0.083,0.437
politics.mideast.israel,Topic 7,israel jew,0.348,Negative,-0.108,0.383
talk.politics.misc,Topic 18,armenian azerbaijan,0.203,Neutral,-0.05,0.15
sport.hockey.nhl,Topic 13,let put,0.84,Neutral,-0.037,0.637
rec.motorcycles,Topic 13,let put,0.791,Positive,0.092,0.584
sci.crypt,Topic 4,state law gun,0.185,Positive,0.08,0.465
rec.motorcycles,Topic 4,state law gun,0.302,Neutral,-0.041,0.518
politics.guns.rights,Topic 13,let put,0.416,Positive,0.067,0.367
rec.sport.baseball,Topic 13,let put,0.286,Neutral,-0.04,0.406
comp.sys.mac.hardware,Topic 11,sale new,0.489,Positive,0.4,0.5
rec.sport.baseball,Topic 26,football player vs. football team,0.556,Positive,0.138,0.373
rec.sport.baseball,Topic 13,let put,0.652,Positive,0.232,0.397
comp.sys.mac.hardware,Topic 13,let put,0.635,Positive,0.196,0.859
comp.sys.mac.hardware,Topic 13,let put,0.434,Positive,0.2,0.2
rec.motorcycles,Topic 13,let put,0.273,Positive,0.213,0.472
sci.electronics.devices,Topic 13,let put,0.347,Positive,0.247,0.667
sci.space.nasa,Topic 13,let put,0.336,Positive,0.236,0.547
comp.windows.x,Topic 12,computer system,0.539,Negative,-0.124,0.377
religion.christian.bible,Topic 14,god christian,0.368,Neutral,-0.015,0.404
comp.os.ms-windows.misc,Topic 12,computer system,0.349,Neutral,0.0,0.0
sci.med.disease,Topic 28,patient drug,0.371,Positive,0.227,0.479
politics.mideast.israel,Topic 18,armenian azerbaijan,0.32,Neutral,0.033,0.44
sci.crypt,Topic 13,let put,0.286,Positive,0.239,0.425
rec.autos.buying,Topic 20,mile a car,0.323,Positive,0.165,0.475
sport.hockey.nhl,Topic 13,let put,0.161,Positive,0.125,0.4
comp.os.ms-windows.misc,Topic 16,file image,0.316,Negative,-0.125,0.542
sci.space.nasa,Topic 9,space earth,0.886,Positive,0.2,0.413
sci.electronics.circuit,Topic 16,file image,0.251,Positive,0.5,1.0
comp.windows.x,Topic 16,file image,0.322,Positive,0.357,0.467
comp.sys.mac.hardware,Topic 11,sale new,0.48,Neutral,0.05,0.1
misc.forsale,Topic 13,let put,0.408,Positive,0.179,0.333
rec.autos.buying,Topic 20,mile a car,0.236,Positive,0.205,0.487
alt.atheism,Topic 17,evidence claim,0.542,Positive,0.195,0.412
sci.crypt,Topic 8,wiki wiki,0.465,Negative,-0.167,0.389
politics.guns.rights,Topic 13,let put,0.269,Neutral,-0.048,0.492
alt.atheism,Topic 17,evidence claim,0.478,Positive,0.156,0.468
misc.forsale,Topic 11,sale new,0.317,Positive,1.0,0.6
politics.mideast.arab,Topic 7,israel jew,0.566,Neutral,0.007,0.303
rec.autos.buying,Topic 13,let put,0.408,Positive,0.111,0.519
sci.electronics.devices,Topic 12,computer system,0.256,Positive,0.176,0.353
rec.autos.repair,Topic 20,mile a car,0.25,Neutral,0.0,0.625
comp.hardware.cpu,Topic 11,sale new,0.424,Positive,0.125,0.641
sci.electronics.devices,Topic 23,power battery,0.477,Negative,-0.093,0.443
sci.crypt,Topic 10,key government,0.512,Neutral,0.042,0.619
rec.autos.repair,Topic 20,mile a car,0.513,Neutral,-0.01,0.523
comp.os.ms-windows.misc,Topic 16,file image,0.399,Positive,0.061,0.572
comp.os.ms-windows.misc,Topic 12,computer system,0.811,Positive,0.102,0.329
alt.atheism,Topic 17,evidence claim,0.47,Neutral,0.0,0.434
politics.guns.control,Topic 13,let put,0.427,Positive,0.145,0.583
comp.graphics.software,Topic 15,copy of a page,0.509,Neutral,0.04,0.141
comp.os.ms-windows.misc,Topic 15,copy of a page,0.523,Positive,0.192,0.409
rec.autos.repair,Topic 6,bit point,0.363,Positive,0.053,0.386
comp.hardware.cpu,Topic 17,evidence claim,0.344,Positive,0.229,0.302
comp.os.ms-windows.misc,Topic 13,let put,0.222,Negative,-0.117,0.539
comp.graphics.software,Topic 17,evidence claim,0.265,Neutral,0.04,0.378
sport.hockey.nhl,Topic 13,let put,0.302,Negative,-0.15,0.2
sci.electronics.circuit,Topic 16,file image,0.26,Positive,0.7,0.6
sci.electronics.devices,Topic 11,sale new,0.569,Positive,0.251,0.431
politics.mideast.israel,Topic 18,armenian azerbaijan,0.414,Positive,0.178,0.324
sci.electronics.devices,Topic 16,file image,0.26,Positive,0.294,0.634
comp.os.ms-windows.misc,Topic 12,computer system,0.611,Neutral,0.032,0.46
rec.motorcycles,Topic 20,mile a car,0.454,Positive,0.229,0.745
rec.motorcycles,Topic 13,let put,0.556,Positive,0.15,0.25
talk.politics.misc,Topic 9,space earth,0.245,Neutral,0.022,0.531
comp.windows.x,Topic 6,bit point,0.476,Neutral,-0.004,0.279
alt.atheism,Topic 17,evidence claim,0.474,Positive,0.12,0.454
comp.graphics.software,Topic 29,subject newsgroups,0.415,Positive,0.3,0.52
misc.forsale,Topic 16,file image,0.348,Positive,0.35,0.5
sci.electronics.devices,Topic 16,file image,0.336,Positive,0.228,0.563
rec.motorcycles,Topic 23,power battery,0.174,Positive,0.135,0.434
politics.mideast.israel,Topic 17,evidence claim,0.243,Positive,0.129,0.69
sci.electronics.circuit,Topic 12,computer system,0.318,Neutral,0.028,0.393
sci.electronics.devices,Topic 23,power battery,0.314,Neutral,0.043,0.081
sci.electronics.circuit,Topic 11,sale new,0.218,Neutral,0.034,0.453
comp.graphics.hardware,Topic 11,sale new,0.681,Negative,-0.5,1.0
misc.forsale,Topic 11,sale new,0.402,Positive,0.125,0.283
talk.politics.misc,Topic 14,god christian,0.28,Positive,0.24,0.385
comp.sys.mac.hardware,Topic 6,bit point,0.41,Positive,0.18,0.488
comp.hardware.drives,Topic 12,computer system,0.433,Positive,0.054,0.394
sport.hockey.nhl,Topic 13,let put,0.327,Positive,0.8,0.75
rec.sport.baseball,Topic 15,copy of a page,0.279,Positive,0.25,0.312
alt.atheism,Topic 17,evidence claim,0.64,Positive,0.152,0.632
sci.med.disease,Topic 13,let put,0.34,Neutral,0.0,0.0
sci.crypt,Topic 9,space earth,0.213,Positive,0.173,0.525
comp.windows.x,Topic 22,window set color,0.245,Positive,0.393,0.518
sci.space.nasa,Topic 6,bit point,0.561,Negative,-0.1,0.275
religion.christian.church,Topic 14,god christian,0.281,Positive,0.1,0.395
rec.motorcycles,Topic 13,let put,0.388,Positive,0.165,0.485
comp.sys.mac.hardware,Topic 11,sale new,0.573,Positive,0.225,0.706
religion.christian.bible,Topic 14,god christian,0.246,Positive,0.234,0.387
religion.christian.bible,Topic 13,let put,0.529,Positive,0.125,0.383
comp.graphics.software,Topic 13,let put,0.384,Positive,0.375,0.944
politics.guns.rights,Topic 13,let put,0.348,Positive,0.119,0.465
rec.sport.baseball,Topic 13,let put,0.345,Neutral,0.0,0.0
rec.motorcycles,Topic 13,let put,0.596,Positive,0.124,0.468
misc.forsale,Topic 11,sale new,0.254,Positive,0.4,0.588
sci.med.disease,Topic 13,let put,0.272,Neutral,0.023,0.545
misc.forsale,Topic 11,sale new,0.578,Positive,0.5,0.65
politics.mideast.arab,Topic 18,armenian azerbaijan,0.572,Neutral,-0.021,0.348
sci.space.nasa,Topic 9,space earth,0.36,Positive,0.056,0.313
rec.sport.baseball,Topic 13,let put,0.462,Positive,0.301,0.38
comp.graphics.hardware,Topic 12,computer system,0.455,Positive,0.229,0.513
comp.os.ms-windows.misc,Topic 13,let put,0.47,Positive,0.5,0.5
religion.christian.bible,Topic 14,god christian,0.254,Positive,0.199,0.459
sci.med.disease,Topic 28,patient drug,0.382,Positive,0.103,0.496
rec.sport.baseball,Topic 30,president of the united states,0.643,Neutral,-0.007,0.518
rec.motorcycles,Topic 13,let put,0.403,Positive,0.145,0.249
comp.os.ms-windows.misc,Topic 13,let put,0.451,Neutral,0.0,0.0
sci.med.treatment,Topic 13,let put,0.251,Positive,0.08,0.599
comp.os.ms-windows.misc,Topic 11,sale new,0.484,Neutral,0.0,0.0
alt.atheism,Topic 17,evidence claim,0.29,Neutral,0.001,0.521
religion.christian.bible,Topic 14,god christian,0.518,Positive,0.25,0.3
sci.space.nasa,Topic 10,key government,0.319,Positive,0.1,0.287
comp.graphics.software,Topic 16,file image,0.296,Positive,0.183,0.508
sci.space.astronomy,Topic 9,space earth,0.524,Positive,0.112,0.552
politics.mideast.arab,Topic 13,let put,0.225,Positive,0.112,0.42
sci.space.nasa,Topic 9,space earth,0.549,Neutral,0.047,0.319
comp.sys.mac.hardware,Topic 11,sale new,0.39,Positive,0.28,0.545
rec.autos.buying,Topic 4,state law gun,0.241,Positive,0.333,0.333
talk.religion.misc,Topic 14,god christian,0.656,Positive,0.159,0.447
comp.graphics.software,Topic 19,client server,0.3,Positive,0.062,0.494
religion.christian.bible,Topic 17,evidence claim,0.302,Positive,0.094,0.574
politics.mideast.israel,Topic 7,israel jew,0.251,Positive,0.312,0.444
politics.guns.control,Topic 4,state law gun,0.231,Positive,0.266,0.51
comp.os.ms-windows.misc,Topic 12,computer system,0.311,Positive,0.147,0.52
religion.christian.bible,Topic 13,let put,0.298,Neutral,0.032,0.447
sci.electronics.circuit,Topic 11,sale new,0.29,Neutral,0.0,0.0
misc.forsale,Topic 11,sale new,0.244,Positive,0.203,0.557
rec.sport.baseball,Topic 11,sale new,0.314,Positive,0.23,0.23
misc.forsale,Topic 11,sale new,0.482,Neutral,-0.013,0.358
misc.forsale,Topic 11,sale new,0.216,Positive,0.35,0.35
talk.politics.misc,Topic 25,homosexual homosexuality,0.657,Positive,0.081,0.531
sport.hockey.nhl,Topic 13,let put,0.314,Positive,0.25,0.494
misc.forsale,Topic 11,sale new,0.422,Positive,0.367,0.533
sport.hockey.nhl,Topic 13,let put,0.308,Neutral,0.0,0.0
comp.windows.x,Topic 12,computer system,0.408,Positive,0.083,0.215
sci.med.disease,Topic 13,let put,0.232,Positive,0.239,0.444
comp.hardware.cpu,Topic 13,let put,0.224,Negative,-0.092,0.327
rec.sport.baseball,Topic 26,football player vs. football team,0.371,Negative,-0.26,0.493
sci.med.treatment,Topic 6,bit point,0.469,Neutral,0.044,0.614
sci.electronics.circuit,Topic 13,let put,0.295,Positive,0.393,0.629
sci.med.treatment,Topic 13,let put,0.327,Positive,0.097,0.479
rec.motorcycles,Topic 13,let put,0.267,Neutral,0.043,0.592
comp.sys.mac.hardware,Topic 23,power battery,0.649,Neutral,0.024,0.447
comp.hardware.cpu,Topic 12,computer system,0.433,Positive,0.084,0.402
rec.sport.baseball,Topic 13,let put,0.35,Negative,-0.3,0.4
comp.graphics.software,Topic 13,let put,0.262,Positive,0.3,0.35
sci.electronics.circuit,Topic 1,dial svg,0.367,Neutral,0.0,0.4
comp.sys.mac.hardware,Topic 13,let put,0.301,Positive,0.069,0.485
comp.os.ms-windows.misc,Topic 16,file image,0.301,Positive,0.433,0.833
comp.os.ms-windows.misc,Topic 16,file image,0.561,Positive,0.45,0.4
sci.crypt,Topic 6,bit point,0.436,Neutral,-0.014,0.48
sci.med.treatment,Topic 17,evidence claim,0.282,Neutral,-0.04,0.571
comp.sys.mac.hardware,Topic 25,homosexual homosexuality,0.298,Neutral,0.0,0.0
comp.graphics.hardware,Topic 12,computer system,0.792,Neutral,-0.023,0.356
sci.electronics.circuit,Topic 23,power battery,0.718,Neutral,0.037,0.369
alt.atheism,Topic 13,let put,0.367,Positive,0.098,0.476
politics.guns.control,Topic 27,bike motorcycle,0.217,Negative,-0.156,0.344
sci.electronics.devices,Topic 13,let put,0.247,Positive,0.25,0.25
politics.guns.rights,Topic 24,mike and john,0.339,Positive,0.2,0.322
rec.autos.buying,Topic 3,comics comics,0.308,Positive,0.1,0.233
politics.mideast.israel,Topic 13,let put,0.241,Positive,0.506,0.708
religion.christian.church,Topic 17,evidence claim,0.509,Neutral,-0.009,0.533
sci.crypt,Topic 23,power battery,0.283,Positive,0.189,0.732
comp.os.ms-windows.misc,Topic 12,computer system,0.254,Positive,0.119,0.384
rec.autos.buying,Topic 12,computer system,0.266,Positive,0.208,0.465
sport.hockey.nhl,Topic 26,football player vs. football team,0.352,Positive,0.076,0.467
sci.space.nasa,Topic 9,space earth,0.305,Positive,0.175,0.54
religion.christian.bible,Topic 17,evidence claim,0.551,Positive,0.119,0.543
comp.windows.x,Topic 13,let put,0.28,Positive,0.106,0.289
politics.guns.control,Topic 8,wiki wiki,0.341,Positive,0.213,0.513
sci.crypt,Topic 13,let put,0.272,Positive,0.347,0.724
comp.sys.mac.hardware,Topic 19,client server,0.332,Positive,0.146,0.398
sci.med.disease,Topic 8,wiki wiki,0.594,Neutral,0.026,0.413
rec.autos.repair,Topic 12,computer system,0.427,Positive,0.124,0.535
comp.sys.mac.hardware,Topic 13,let put,0.299,Negative,-0.06,0.192
sci.med.disease,Topic 17,evidence claim,0.449,Neutral,0.0,0.4
politics.mideast.israel,Topic 10,key government,0.227,Negative,-0.096,0.442
religion.christian.church,Topic 14,god christian,0.435,Neutral,0.033,0.574
rec.sport.baseball,Topic 13,let put,0.312,Neutral,0.0,0.483
politics.guns.control,Topic 4,state law gun,0.482,Positive,0.058,0.531
politics.mideast.israel,Topic 1,dial svg,0.223,Neutral,-0.001,0.581
alt.atheism,Topic 13,let put,0.277,Positive,0.118,0.695
politics.guns.control,Topic 4,state law gun,0.482,Positive,0.074,0.423
rec.motorcycles,Topic 27,bike motorcycle,0.297,Positive,0.093,0.662
sci.med.treatment,Topic 13,let put,0.506,Negative,-0.068,0.394
comp.os.ms-windows.misc,Topic 13,let put,0.297,Positive,0.204,0.591
sci.space.nasa,Topic 13,let put,0.301,Positive,0.1,0.37
sport.hockey.nhl,Topic 13,let put,0.232,Positive,0.06,0.409
comp.os.ms-windows.misc,Topic 12,computer system,0.374,Positive,0.13,0.13
comp.os.ms-windows.misc,Topic 12,computer system,0.482,Positive,0.7,0.6
rec.sport.baseball,Topic 13,let put,0.506,Neutral,-0.036,0.357
sci.space.nasa,Topic 13,let put,0.352,Neutral,-0.042,0.458
comp.os.ms-windows.misc,Topic 12,computer system,0.329,Positive,0.1,0.26
religion.christian.bible,Topic 17,evidence claim,0.3,Positive,0.45,0.705
religion.christian.bible,Topic 30,president of the united states,0.209,Neutral,-0.0,0.197
comp.sys.mac.hardware,Topic 22,window set color,0.272,Neutral,-0.044,0.344
comp.sys.mac.hardware,Topic 12,computer system,0.406,Neutral,0.028,0.431
sci.crypt,Topic 12,computer system,0.265,Positive,0.197,0.588
sci.crypt,Topic 10,key government,0.285,Neutral,0.038,0.521
sci.med.treatment,Topic 28,patient drug,0.447,Positive,0.203,0.577
alt.atheism,Topic 14,god christian,0.348,Neutral,0.028,0.535
misc.forsale,Topic 11,sale new,0.304,Negative,-0.1,0.428
talk.politics.misc,Topic 30,president of the united states,0.332,Neutral,0.0,0.0
sci.med.disease,Topic 27,bike motorcycle,0.316,Positive,0.167,0.5
talk.politics.misc,Topic 24,mike and john,0.295,Positive,0.106,0.442
politics.guns.control,Topic 13,let put,0.308,Positive,0.111,0.61
comp.os.ms-windows.misc,Topic 22,window set color,0.257,Positive,0.094,0.672
rec.sport.baseball,Topic 26,football player vs. football team,0.401,Positive,0.447,0.43
sci.crypt,Topic 13,let put,0.296,Positive,0.4,0.6
rec.sport.baseball,Topic 10,key government,0.31,Neutral,0.033,0.111
comp.hardware.drives,Topic 12,computer system,0.267,Positive,0.098,0.392
alt.atheism,Topic 17,evidence claim,0.386,Positive,0.052,0.577
talk.politics.misc,Topic 30,president of the united states,0.6,Positive,0.063,0.469
rec.autos.buying,Topic 13,let put,0.614,Neutral,0.05,0.472
rec.sport.baseball,Topic 13,let put,0.289,Positive,0.393,0.554
sci.space.astronomy,Topic 13,let put,0.241,Positive,0.097,0.487
sport.hockey.nhl,Topic 29,subject newsgroups,0.445,Positive,0.056,0.551
politics.mideast.israel,Topic 18,armenian azerbaijan,0.288,Negative,-0.155,0.287
rec.motorcycles,Topic 20,mile a car,0.324,Negative,-0.083,0.158
comp.windows.x,Topic 19,client server,0.326,Negative,-0.062,0.756
comp.hardware.drives,Topic 12,computer system,0.296,Positive,0.147,0.678
comp.os.ms-windows.misc,Topic 16,file image,0.524,Positive,0.1,0.15
sci.med.disease,Topic 17,evidence claim,0.355,Neutral,-0.046,0.333
misc.forsale,Topic 11,sale new,0.514,Neutral,0.0,0.0
rec.autos.buying,Topic 13,let put,0.278,Negative,-0.062,0.575
comp.graphics.software,Topic 16,file image,0.483,Negative,-0.108,0.54
comp.sys.mac.hardware,Topic 16,file image,0.318,Neutral,-0.042,0.333
sci.electronics.circuit,Topic 13,let put,0.378,Positive,0.183,0.51
sci.crypt,Topic 12,computer system,0.488,Negative,-0.064,0.613
misc.forsale,Topic 11,sale new,0.399,Positive,0.068,0.277
comp.os.ms-windows.misc,Topic 12,computer system,0.413,Positive,0.083,0.667
sci.space.nasa,Topic 9,space earth,0.423,Positive,0.078,0.462
rec.sport.baseball,Topic 13,let put,0.447,Positive,0.16,0.48
comp.graphics.software,Topic 16,file image,0.265,Neutral,-0.025,0.358
sci.crypt,Topic 13,let put,0.457,Neutral,-0.009,0.408
religion.christian.church,Topic 14,god christian,0.377,Positive,0.126,0.563
religion.christian.church,Topic 14,god christian,0.333,Positive,0.178,0.521
misc.forsale,Topic 5,bos van,0.368,Neutral,-0.033,0.067
comp.windows.x,Topic 22,window set color,0.586,Positive,0.223,0.369
sport.hockey.nhl,Topic 13,let put,0.356,Negative,-0.142,0.525
rec.motorcycles,Topic 13,let put,0.246,Positive,0.25,0.85
comp.sys.mac.hardware,Topic 13,let put,0.355,Positive,0.267,0.4
politics.guns.control,Topic 13,let put,0.23,Positive,0.135,0.598
politics.mideast.israel,Topic 17,evidence claim,0.234,Positive,0.11,0.592
rec.motorcycles,Topic 13,let put,0.476,Positive,0.2,0.714
sport.hockey.general,Topic 26,football player vs. football team,0.253,Negative,-0.4,0.4
politics.mideast.israel,Topic 7,israel jew,0.24,Positive,0.345,0.512
sport.hockey.nhl,Topic 13,let put,0.29,Negative,-0.476,0.543
religion.christian.church,Topic 14,god christian,0.425,Positive,0.115,0.408
sport.hockey.nhl,Topic 13,let put,0.356,Neutral,-0.038,0.222
comp.sys.mac.hardware,Topic 12,computer system,0.355,Positive,0.112,0.308
sci.electronics.circuit,Topic 18,armenian azerbaijan,0.256,Positive,0.4,0.408
alt.atheism,Topic 13,let put,0.293,Neutral,-0.008,0.667
comp.windows.x,Topic 22,window set color,0.367,Neutral,0.0,0.0
comp.sys.mac.hardware,Topic 12,computer system,0.44,Positive,0.069,0.422
alt.atheism,Topic 17,evidence claim,0.432,Positive,0.111,0.439
talk.politics.misc,Topic 17,evidence claim,0.269,Neutral,0.003,0.408
comp.os.ms-windows.misc,Topic 13,let put,0.309,Negative,-0.238,0.629
comp.hardware.cpu,Topic 13,let put,0.375,Neutral,0.007,0.382
alt.atheism,Topic 17,evidence claim,0.433,Positive,0.11,0.43
talk.religion.misc,Topic 14,god christian,0.474,Positive,0.43,0.58
rec.sport.baseball,Topic 13,let put,0.255,Positive,0.325,0.602
talk.religion.misc,Topic 30,president of the united states,0.264,Positive,0.287,0.625
comp.windows.x,Topic 19,client server,0.402,Negative,-0.45,0.787
sci.med.disease,Topic 16,file image,0.417,Positive,0.177,0.41
sci.space.nasa,Topic 4,state law gun,0.331,Positive,0.05,0.528
sport.hockey.nhl,Topic 26,football player vs. football team,0.264,Positive,0.228,0.364
comp.windows.x,Topic 19,client server,0.319,Positive,0.3,0.425
sci.crypt,Topic 4,state law gun,0.327,Neutral,0.039,0.482
misc.forsale,Topic 13,let put,0.26,Positive,0.215,0.4
misc.forsale,Topic 28,patient drug,0.253,Positive,0.131,0.406
comp.graphics.software,Topic 13,let put,0.274,Positive,0.25,0.375
sci.med.disease,Topic 4,state law gun,0.329,Positive,0.058,0.529
sci.med.disease,Topic 13,let put,0.547,Negative,-0.054,0.469
talk.politics.misc,Topic 17,evidence claim,0.307,Positive,0.088,0.331
politics.mideast.israel,Topic 30,president of the united states,0.548,Negative,-0.074,0.298
rec.sport.baseball,Topic 26,football player vs. football team,0.691,Neutral,-0.026,0.59
religion.christian.bible,Topic 7,israel jew,0.27,Positive,0.5,0.6
comp.os.ms-windows.misc,Topic 19,client server,0.38,Positive,0.375,0.475
rec.sport.baseball,Topic 16,file image,0.25,Positive,0.25,0.2
comp.os.ms-windows.misc,Topic 16,file image,0.403,Positive,0.088,0.337
sci.space.nasa,Topic 13,let put,0.344,Neutral,0.0,0.5
comp.windows.x,Topic 12,computer system,0.362,Neutral,0.046,0.479
sci.space.nasa,Topic 9,space earth,0.349,Positive,0.076,0.459
religion.christian.bible,Topic 4,state law gun,0.255,Positive,0.183,0.552
rec.sport.baseball,Topic 26,football player vs. football team,0.581,Positive,0.1,0.452
comp.hardware.cpu,Topic 11,sale new,0.55,Positive,0.104,0.497
talk.politics.misc,Topic 30,president of the united states,0.325,Positive,0.188,0.438
comp.graphics.hardware,Topic 12,computer system,0.321,Positive,0.125,0.406
talk.politics.misc,Topic 29,subject newsgroups,0.214,Negative,-0.125,0.45
sport.hockey.nhl,Topic 13,let put,0.314,Positive,0.051,0.318
sci.med.disease,Topic 4,state law gun,0.347,Neutral,0.022,0.375
talk.religion.misc,Topic 14,god christian,0.491,Positive,0.256,0.267
talk.politics.misc,Topic 20,mile a car,0.195,Neutral,0.03,0.456
rec.sport.baseball,Topic 13,let put,0.278,Positive,0.263,0.575
sci.space.nasa,Topic 16,file image,0.213,Positive,0.167,0.533
comp.sys.mac.hardware,Topic 22,window set color,0.455,Positive,0.44,0.629
comp.sys.mac.hardware,Topic 11,sale new,0.351,Positive,0.132,0.449
alt.atheism,Topic 13,let put,0.355,Positive,0.432,0.482
sci.electronics.devices,Topic 23,power battery,0.186,Positive,0.25,0.525
talk.politics.misc,Topic 30,president of the united states,0.25,Positive,0.162,0.667
sci.space.nasa,Topic 30,president of the united states,0.274,Neutral,0.033,0.497
sci.space.nasa,Topic 13,let put,0.512,Positive,0.067,0.8
sci.med.disease,Topic 13,let put,0.27,Positive,0.115,0.557
religion.christian.church,Topic 14,god christian,0.522,Neutral,0.012,0.287
comp.windows.x,Topic 19,client server,0.6,Positive,0.086,0.49
comp.sys.mac.hardware,Topic 12,computer system,0.455,Positive,0.312,0.433
talk.politics.misc,Topic 13,let put,0.426,Positive,0.096,0.346
sci.electronics.circuit,Topic 13,let put,0.635,Positive,0.139,0.448
rec.sport.baseball,Topic 13,let put,0.362,Positive,0.093,0.468
misc.forsale,Topic 15,copy of a page,0.397,Neutral,-0.018,0.411
comp.graphics.software,Topic 6,bit point,0.883,Neutral,0.044,0.604
comp.sys.mac.hardware,Topic 12,computer system,0.319,Negative,-0.056,0.722
misc.forsale,Topic 19,client server,0.276,Neutral,0.025,0.5
rec.motorcycles,Topic 13,let put,0.26,Neutral,-0.009,0.354
alt.atheism,Topic 13,let put,0.392,Positive,0.199,0.662
politics.mideast.arab,Topic 7,israel jew,0.408,Positive,0.144,0.454
comp.graphics.software,Topic 16,file image,0.542,Neutral,0.033,0.547
talk.politics.misc,Topic 13,let put,0.395,Positive,0.277,0.595
politics.guns.control,Topic 4,state law gun,0.35,Positive,0.171,0.438
talk.politics.misc,Topic 13,let put,0.366,Negative,-0.098,0.547
rec.motorcycles,Topic 7,israel jew,0.484,Positive,0.189,0.455
sci.med.disease,Topic 11,sale new,0.599,Neutral,0.043,0.446
sci.electronics.devices,Topic 11,sale new,0.234,Positive,0.146,0.4
religion.christian.church,Topic 17,evidence claim,0.258,Neutral,0.032,0.633
rec.motorcycles,Topic 11,sale new,0.218,Positive,0.335,0.504
misc.forsale,Topic 16,file image,0.311,Positive,0.086,0.371
talk.religion.misc,Topic 30,president of the united states,0.477,Negative,-0.069,0.332
comp.sys.mac.hardware,Topic 13,let put,0.347,Positive,0.225,0.51
comp.sys.mac.hardware,Topic 15,copy of a page,0.224,Positive,0.166,0.628
comp.windows.x,Topic 22,window set color,0.722,Positive,0.083,0.327
misc.forsale,Topic 13,let put,0.325,Negative,-0.056,0.269
sci.med.disease,Topic 13,let put,0.285,Positive,0.052,0.434
